wellName,datasetName,Depth,AC,CAL,CNL,DEN,GR,RT,RXO
,,M,us/ft,in,%,g/cm3,API,ohm.m,ohm.m
Amx108,wire-cg,3550,64.44999695,8.515999794,13.35000038,2.618000031,58.54999924,8.711999893,5.059999943
Amx108,wire-cg,3550.125,62.12599945,8.50399971,13.16100025,2.625999928,57.48199844,9.182999611,5.335999966
Amx108,wire-cg,3550.25,59.84700012,8.477000237,13.0170002,2.628999949,53.49900055,10.98099995,6.28399992
Amx108,wire-cg,3550.375,59.84700012,8.447999954,11.97900009,2.630000114,49.37400055,14.79300022,8.303999901
Amx108,wire-cg,3550.5,58.17399979,8.434000015,10.84399986,2.635999918,47.82099915,17.30599976,9.729999542
Amx108,wire-cg,3550.625,57.5909996,8.413999557,8.380000114,2.667999983,45.48600006,21.45000076,12.45800018
Amx108,wire-cg,3550.75,58.20600128,8.406999588,7.374000072,2.714999914,44.88100052,21.72500038,13.3409996
Amx108,wire-cg,3550.875,59.68099976,8.407999992,7.627999783,2.736000061,45.75699997,20.29599953,12.85000038
Amx108,wire-cg,3551,59.68099976,8.411999702,9.199000359,2.753000021,49.80500031,15.95600033,10.67099953
Amx108,wire-cg,3551.125,61.48300171,8.416999817,10.73200035,2.723999977,54.60400009,11.95899963,8.274999619
Amx108,wire-cg,3551.25,63.20000076,8.418999672,10.99499989,2.703999996,56.47499847,10.56499958,7.376999855
Amx108,wire-cg,3551.375,64.61299896,8.421999931,10.82600021,2.680999994,59.19499969,9.18999958,6.475999832
Amx108,wire-cg,3551.5,65.62999725,8.423000336,10.72500038,2.680000067,60.23899841,9.06000042,6.414000034
Amx108,wire-cg,3551.625,66.19499969,8.423000336,10.77999973,2.680999994,61.89199829,9.105999947,6.568999767
Amx108,wire-cg,3551.75,66.19499969,8.414999962,11.03199959,2.663000107,63.99300003,8.918000221,6.581999779
Amx108,wire-cg,3551.875,66.24900055,8.409999847,11.25899982,2.654000044,65.70899963,8.772000313,6.537000179
