wellName,datasetName,Depth,AC,CAL,CNL,DEN,GR,RT,RXO
,,M,us/ft,in,%,g/cm3,API,ohm.m,ohm.m
Amx208,wire-cg,3257.079,56.23799896,8.855999947,8.993000031,2.661000013,0,33.28099823,28.30900002
Amx208,wire-cg,3257.204,56.36600113,8.857000351,8.927000046,2.663000107,0,32.37799835,27.72900009
Amx208,wire-cg,3257.329,56.4070015,8.857999802,8.824999809,2.661000013,0,31.68300056,26.95199966
Amx208,wire-cg,3257.454,56.42399979,8.861000061,8.80300045,2.657999992,0,30.7670002,26.16399956
Amx208,wire-cg,3257.579,56.48500061,8.864999771,8.93200016,2.657000065,0,29,25.25300026
Amx208,wire-cg,3257.704,56.54199982,8.866999626,9.116999626,2.660000086,0,27.16600037,24.49500084
Amx208,wire-cg,3257.829,56.53099823,8.869000435,9.140999794,2.664000034,0,26.18199921,24.05699921
Amx208,wire-cg,3257.954,56.45999908,8.869999886,8.921999931,2.664999962,0,26.20599937,23.9260006
Amx208,wire-cg,3258.079,56.35800171,8.87100029,8.597999573,2.661999941,0,27.28700066,24.32099915
Amx208,wire-cg,3258.204,56.04700089,8.871999741,8.244999886,2.660000086,0,29.81699944,25.81999969
Amx208,wire-cg,3258.329,55.44400024,8.871999741,7.802000046,2.661999941,0,33.79899979,28.59600067
Amx208,wire-cg,3258.454,54.73099899,8.871999741,7.112999916,2.66899991,0,39.22900009,33.01100159
Amx208,wire-cg,3258.579,53.90999985,8.873000145,6.090000153,2.684000015,0,48.22499847,40.79499817
Amx208,wire-cg,3258.705,53.19499969,8.873999596,5.282999992,2.694000006,0,58.36899948,49.51100159
Amx208,wire-cg,3258.83,52.76200104,8.87899971,4.907999992,2.697999954,0,65.62999725,55.45000076
Amx208,wire-cg,3258.955,52.64699936,8.890000343,4.797999859,2.694000006,0,69.08399963,57.80400085
Amx208,wire-cg,3259.08,52.84700012,8.904999733,4.879000187,2.686000109,0,67.91300201,56.27999878
Amx208,wire-cg,3259.205,53.09899902,8.916000366,5.017000198,2.678999901,0,64.17700195,53.09000015
Amx208,wire-cg,3259.33,53.31299973,8.911000252,5.150000095,2.673000097,0,60.21300125,50.04899979
Amx208,wire-cg,3259.455,53.48099899,8.88599968,5.256999969,2.66899991,0,58.36899948,48.61500168
Amx208,wire-cg,3259.58,53.56499863,8.852000237,5.386000156,2.665999889,0,58.92300034,48.92200089
Amx208,wire-cg,3259.705,53.63399887,8.81799984,5.605999947,2.663000107,0,60.59899902,50.25600052
Amx208,wire-cg,3259.83,53.75299835,8.800999641,5.828999996,2.661999941,0,61.95600128,51.5890007
Amx208,wire-cg,3259.955,53.92399979,8.798000336,5.933000088,2.665999889,0,62.62900162,52.27799988
Amx208,wire-cg,3260.08,54.11600113,8.798000336,5.919000149,2.671999931,0,62.98600006,52.54100037
Amx208,wire-cg,3260.205,54.26900101,8.798999786,5.833000183,2.674999952,0,62.66500092,52.51599884
Amx208,wire-cg,3260.33,54.44900131,8.802000046,5.797999859,2.674000025,0,61.06499863,52.20399857
Amx208,wire-cg,3260.455,54.68700027,8.807999611,5.916999817,2.674000025,0,58.77500153,51.73199844
Amx208,wire-cg,3260.58,55.01200104,8.807999611,6.112999916,2.677000046,0,56.76300049,51.04199982
Amx208,wire-cg,3260.705,55.4980011,8.788999557,6.267000198,2.684000015,0,55.29800034,49.73799896
Amx208,wire-cg,3260.83,55.96099854,8.753000259,6.297999859,2.690999985,0,54.7179985,48.18399811
Amx208,wire-cg,3260.955,56.22200012,8.717000008,6.309000015,2.694000006,0,53.87900162,46.98199844
Amx208,wire-cg,3261.08,56.25600052,8.68900013,6.414000034,2.690999985,0,51.12900162,46.03900146
Amx208,wire-cg,3261.205,56.15599823,8.677000046,6.573999882,2.684999943,0,47.27999878,45.25500107
Amx208,wire-cg,3261.33,56.11399841,8.675000191,6.693999767,2.678999901,0,43.72800064,43.45999908
Amx208,wire-cg,3261.455,56.07899857,8.675000191,6.782999992,2.677999973,0,40.2159996,39.98600006
Amx208,wire-cg,3261.58,56.24599838,8.675000191,6.914000034,2.684999943,0,36.10699844,35.06399918
Amx208,wire-cg,3261.705,57.00099945,8.675000191,7.201000214,2.698999882,0,30.08200073,28.50399971
Amx208,wire-cg,3261.83,57.99000168,8.675000191,7.642000198,2.707000017,0,24.33099937,23.02400017
Amx208,wire-cg,3261.955,58.83800125,8.675000191,8.284000397,2.698999882,0,21.21500015,20.03899956
Amx208,wire-cg,3262.08,59.61800003,8.673999786,9.147999763,2.678999901,0,20.16200066,18.59300041
Amx208,wire-cg,3262.205,59.80500031,8.673000336,9.704000473,2.663000107,0,20.56100082,18.6989994
Amx208,wire-cg,3262.33,59.10699844,8.673000336,9.470999718,2.661999941,0,22.13400078,20.46899986
Amx208,wire-cg,3262.455,57.89099884,8.673000336,8.461000443,2.671000004,0,25.61700058,24.27700043
Amx208,wire-cg,3262.58,56.78099823,8.673000336,7.322999954,2.683000088,0,30.22500038,28.8560009
Amx208,wire-cg,3262.705,55.8390007,8.673000336,6.563000202,2.690000057,0,35.02799988,33.24900055
Amx208,wire-cg,3262.83,55.04299927,8.673999786,6.083000183,2.693000078,0,41.00999832,38.51800156
Amx208,wire-cg,3262.955,54.65999985,8.675000191,5.867000103,2.690999985,0,46.79700089,43.60900116
Amx208,wire-cg,3263.08,54.36299896,8.675999641,5.718999863,2.687000036,0,52.68299866,48.99900055
Amx208,wire-cg,3263.205,53.93600082,8.675999641,5.467999935,2.683000088,0,60.17499924,55.90999985
Amx208,wire-cg,3263.33,53.54399872,8.675999641,5.151000023,2.683000088,0,69.16200256,63.77500153
Amx208,wire-cg,3263.455,53.16999817,8.675999641,4.778999805,2.688999891,0,79.47799683,72.89399719
Amx208,wire-cg,3263.58,52.89300156,8.675000191,4.489999771,2.701999903,0,85.32299805,79.00499725
Amx208,wire-cg,3263.705,52.82600021,8.675999641,4.386000156,2.714999914,0,81.28500366,77.32299805
Amx208,wire-cg,3263.83,53.18199921,8.675999641,4.566999912,2.721999884,0,66.74099731,66.08899689
Amx208,wire-cg,3263.955,54.01900101,8.677000046,5.040999889,2.717999935,0,50.02799988,51.07600021
Amx208,wire-cg,3264.08,55.10499954,8.677000046,5.717000008,2.703000069,0,38.4659996,39.21500015
Amx208,wire-cg,3264.205,56.14500046,8.677000046,6.65500021,2.681999922,0,30.39800072,30.16500092
Amx208,wire-cg,3264.33,56.65399933,8.677000046,7.552999973,2.664000034,0,25.89299965,25.03300095
Amx208,wire-cg,3264.455,56.96500015,8.67800045,8.279000282,2.657000065,0,23.8010006,22.67300034
Amx208,wire-cg,3264.58,57.42100143,8.678999901,8.918000221,2.657000065,0,22.15600014,20.88699913
Amx208,wire-cg,3264.705,57.76499939,8.680000305,9.258000374,2.660000086,0,20.96899986,19.95499992
Amx208,wire-cg,3264.83,58.02600098,8.68200016,9.418000221,2.664000034,0,20.41300011,20.29000092
Amx208,wire-cg,3264.955,58.29899979,8.682999611,9.57199955,2.665999889,0,21.10099983,21.94099998
Amx208,wire-cg,3265.08,58.19300079,8.684000015,9.597999573,2.664999962,0,24.7140007,25.80200005
Amx208,wire-cg,3265.205,57.25699997,8.68500042,9.194999695,2.664999962,0,32.68700027,33.29100037
Amx208,wire-cg,3265.33,56.0340004,8.68599987,8.43900013,2.670000076,0,41.26200104,41.18899918
Amx208,wire-cg,3265.455,55.35900116,8.687000275,7.696000099,2.676000118,0,46.49499893,45.85699844
Amx208,wire-cg,3265.58,55.05699921,8.68999958,6.96999979,2.678999901,0,48.78499985,47.61399841
Amx208,wire-cg,3265.705,54.90200043,8.692000389,6.410999775,2.676000118,0,48.63600159,47.20299911
Amx208,wire-cg,3265.83,54.93600082,8.694000244,6.024000168,2.671999931,0,47.31100082,46.05599976
Amx208,wire-cg,3265.955,55.00600052,8.69699955,5.671000004,2.667999983,0,46.47499847,45.04999924
Amx208,wire-cg,3266.08,54.89400101,8.699000359,5.461999893,2.670000076,0,47.29800034,44.67900085
Amx208,wire-cg,3266.205,54.56600189,8.699000359,5.453000069,2.676000118,0,49.55500031,45.11899948
Amx208,wire-cg,3266.331,54.125,8.699000359,5.540999889,2.681999922,0,52.27099991,46.10200119
Amx208,wire-cg,3266.456,53.70399857,8.699000359,5.610000134,2.683000088,0,54.28499985,47.45800018
Amx208,wire-cg,3266.581,53.2480011,8.699000359,5.622000217,2.677000046,0,56.4640007,49.60800171
